num,ID,role,org_lon,org_lat,des_lon,des_lat,rider_type,duration,cost
1,1,R,104.108977,30.687676,104.04279,30.71717,4,22.05,22.8035
2,2,R,104.14791,30.67691,104.12844,30.63596,3,15.216666666666667,17.3505
3,3,R,104.08621,30.68946,104.14003,30.66913,2,17.383333333333333,19.0833
4,5,R,104.110832,30.67185,104.06914,30.70437,2,16.65,18.494300000000003
5,6,R,103.94415,30.76545,104.10793,30.64821,2,63.05,55.5253
6,9,R,104.08314,30.68507,104.0885,30.72581,3,14.1,16.4594
7,11,R,104.04066,30.663120000000006,104.07984,30.6166,3,19.766666666666666,20.9776
8,12,R,103.98962,30.56782,104.07034,30.66035,2,39.81666666666667,36.9775
9,14,R,104.17952,30.6911,104.06434,30.70836,2,34.6,32.8108
10,17,R,104.14965,30.65571,104.07822,30.665340000000004,2,21.4,22.281
11,21,R,104.06378,30.76477,103.999585,30.692358,3,31.333333333333332,30.204
12,23,R,104.1707,30.714170000000006,104.10944,30.71198,2,18.133333333333333,19.6761
13,25,R,104.09199,30.68441,104.05007,30.65165,3,16.766666666666666,18.5798
14,27,R,104.153076,30.682282,104.08771,30.65995,2,20.816666666666666,21.8136
15,28,R,104.11235,30.7153,104.11935,30.62118,2,32.45,31.1027
16,29,R,104.12285,30.65243,104.061584,30.711246000000006,2,27.166666666666668,26.8866
17,30,R,104.0278,30.75611,104.07687,30.72265,4,18.516666666666666,19.9858
18,31,R,104.07753,30.72009000000001,104.03799,30.67638,2,19.05,20.4076
19,32,R,104.11956,30.708140000000004,104.109126,30.587804,4,41.516666666666666,38.3417
20,33,R,104.08895,30.66867,104.17412,30.62244,3,29.816666666666666,28.9956
21,34,R,104.113837,30.744285,104.10604,30.70303,3,14.383333333333333,16.6779
22,35,R,104.04934,30.75484,104.083284,30.705019,2,19.866666666666667,21.0555
23,36,R,104.07765,30.6745,104.14162,30.62869,2,24.633333333333333,24.865
24,37,R,104.01546,30.65728,104.0423,30.70615,2,18.6,20.0428
25,38,R,103.98944,30.66689,104.05902,30.6606,2,20.7,21.7281
26,39,R,104.1152,30.61952,104.07848,30.65816,2,17.166666666666668,18.9066
27,41,R,104.11938,30.6221,104.08479,30.6578,2,15.983333333333333,17.964199999999998
28,43,R,104.043968,30.765051,104.03544,30.70758,2,19.933333333333334,21.1106
29,45,R,104.15947,30.683390000000006,104.10596,30.70632,4,17.683333333333334,19.3189
30,46,R,104.044812,30.701525,103.96773,30.7479,3,27.833333333333332,27.4129
31,47,R,104.06387,30.672826,104.00347,30.66721,3,17.983333333333334,19.5507
32,49,R,104.16654,30.71603,104.07736,30.66157,2,32.36666666666667,31.0324
33,51,R,104.14781,30.69029,104.05189,30.6415,4,32.983333333333334,31.5245
34,53,R,104.12577,30.66952,104.16573,30.68305,3,12.7,15.3441
35,55,R,104.11883,30.64677,104.05924,30.67661,3,20.4,21.4887
36,56,R,104.085572,30.693575,104.06006,30.64187,2,19.316666666666666,20.6261
37,57,R,103.998932,30.684275,104.05131,30.701940000000004,2,16.65,18.4867
